"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "TypeScript JSX", "Diff", "JSON", "TypeScript", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\app\landingpage2\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 4, 5, 79
"c:\Users\codye\forge\app\landingpage2\components\LogoGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 10, 80
"c:\Users\codye\forge\app\landingpage2\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 9, 22, 209
"c:\Users\codye\forge\app\landingpage2\components\NumberedSteps.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 8, 75
"c:\Users\codye\forge\app\landingpage2\components\ScrollReveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 10, 49
"c:\Users\codye\forge\app\landingpage2\components\SplitContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 4, 9, 65
"c:\Users\codye\forge\app\landingpage2\components\Testimonial.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 5, 50
"c:\Users\codye\forge\app\landingpage2\landing-page2.css", "PostCSS", 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 19, 41, 313
"c:\Users\codye\forge\app\landingpage2\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\codye\forge\app\landingpage2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 4, 43
"c:\Users\codye\forge\app\landingpage\landing-page.css", "PostCSS", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 11, 11, 120
"c:\Users\codye\forge\app\landingpage\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\codye\forge\app\landingpage\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\codye\forge\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\codye\forge\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 250, 0, 0, 0, 0, 8, 27, 285
"c:\Users\codye\forge\app\marketplace\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 2, 27
"c:\Users\codye\forge\app\marketplace\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 823, 0, 0, 0, 0, 27, 24, 874
"c:\Users\codye\forge\app\messages\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\codye\forge\app\messages\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1201, 0, 0, 0, 0, 22, 56, 1279
"c:\Users\codye\forge\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 2, 24
"c:\Users\codye\forge\app\notifications\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 383, 0, 0, 0, 0, 25, 40, 448
"c:\Users\codye\forge\app\order\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 415, 0, 0, 0, 0, 4, 29, 448
"c:\Users\codye\forge\app\order\thank-you\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 11, 121
"c:\Users\codye\forge\app\orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 393, 0, 0, 0, 0, 7, 26, 426
"c:\Users\codye\forge\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 3, 9
"c:\Users\codye\forge\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 4, 19, 315
"c:\Users\codye\forge\app\profile\[username]\followers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 18, 211
"c:\Users\codye\forge\app\profile\[username]\following\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 0, 0, 0, 18, 211
"c:\Users\codye\forge\app\profile\[username]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 910, 0, 0, 0, 0, 29, 49, 988
"c:\Users\codye\forge\app\profile\[username]\page_old.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 797, 0, 0, 0, 0, 30, 57, 884
"c:\Users\codye\forge\app\project\[id]\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 2, 27
