"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "JSON", "Diff", "TypeScript", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\codye\forge\app\upload\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 889, 0, 47, 80, 1016
"c:\Users\codye\forge\app\verify-email\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 2, 16, 141
"c:\Users\codye\forge\backend\api\auth\[...nextauth].js", "JavaScript", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39, 259
"c:\Users\codye\forge\backend\api\auth\disconnect.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 78
"c:\Users\codye\forge\backend\api\auth\forgot-password.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 11, 16, 98
"c:\Users\codye\forge\backend\api\auth\forgot-username.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 6, 13, 79
"c:\Users\codye\forge\backend\api\auth\login.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 55
"c:\Users\codye\forge\backend\api\auth\providers.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 53
"c:\Users\codye\forge\backend\api\auth\register.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 100
"c:\Users\codye\forge\backend\api\auth\resend-verification.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 85
"c:\Users\codye\forge\backend\api\auth\reset-password.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 6, 14, 73
"c:\Users\codye\forge\backend\api\auth\verify-email.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 52
"c:\Users\codye\forge\backend\api\cad\assemblies\[id].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 4, 25, 168
"c:\Users\codye\forge\backend\api\cad\assemblies\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 2, 17, 131
"c:\Users\codye\forge\backend\api\cad\files\[id].js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 72
"c:\Users\codye\forge\backend\api\cad\files\[id]\metadata.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 13, 34, 176
"c:\Users\codye\forge\backend\api\cad\files\[id]\reference.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 2, 11, 70
"c:\Users\codye\forge\backend\api\cad\files\[id]\save.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 114
"c:\Users\codye\forge\backend\api\cad\files\[id]\versions.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 73
"c:\Users\codye\forge\backend\api\cad\files\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 9, 49
"c:\Users\codye\forge\backend\api\cad\files\upload.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 85
"c:\Users\codye\forge\backend\api\cad\list.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 69
"c:\Users\codye\forge\backend\api\comments\[commentId]\reactions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 8, 51
"c:\Users\codye\forge\backend\api\comments\on\[entityType]\[entityId].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 13, 25, 194
