"filename", "language", "JavaScript", "TypeScript JSX", "TypeScript", "JSON with Comments", "MS SQL", "JSON", "Markdown", "XML", "PostCSS", "Diff", "comment", "blank", "total"
"/Users/user/Documents/BlueprintCAD/app/register/page.tsx", "TypeScript JSX", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 303
"/Users/user/Documents/BlueprintCAD/app/reset-password/page.tsx", "TypeScript JSX", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 241
"/Users/user/Documents/BlueprintCAD/app/settings/account/page.tsx", "TypeScript JSX", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 266
"/Users/user/Documents/BlueprintCAD/app/settings/page.tsx", "TypeScript JSX", 0, 711, 0, 0, 0, 0, 0, 0, 0, 0, 20, 31, 762
"/Users/user/Documents/BlueprintCAD/app/support/page.tsx", "TypeScript JSX", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 218
"/Users/user/Documents/BlueprintCAD/app/upload/page.tsx", "TypeScript JSX", 0, 760, 0, 0, 0, 0, 0, 0, 0, 0, 43, 72, 875
"/Users/user/Documents/BlueprintCAD/app/verify-email/page.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 141
"/Users/user/Documents/BlueprintCAD/backend/api/auth/[...nextauth].js", "JavaScript", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39, 259
"/Users/user/Documents/BlueprintCAD/backend/api/auth/disconnect.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 78
"/Users/user/Documents/BlueprintCAD/backend/api/auth/forgot-password.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 11, 16, 98
"/Users/user/Documents/BlueprintCAD/backend/api/auth/forgot-username.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 6, 13, 79
"/Users/user/Documents/BlueprintCAD/backend/api/auth/login.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 55
"/Users/user/Documents/BlueprintCAD/backend/api/auth/providers.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 53
"/Users/user/Documents/BlueprintCAD/backend/api/auth/register.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 17, 100
"/Users/user/Documents/BlueprintCAD/backend/api/auth/resend-verification.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 85
"/Users/user/Documents/BlueprintCAD/backend/api/auth/reset-password.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 6, 14, 73
"/Users/user/Documents/BlueprintCAD/backend/api/auth/verify-email.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 52
"/Users/user/Documents/BlueprintCAD/backend/api/cad/assemblies/[id].ts", "TypeScript", 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 4, 25, 168
"/Users/user/Documents/BlueprintCAD/backend/api/cad/assemblies/index.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 2, 17, 131
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id].js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 72
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/metadata.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 13, 29, 168
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/reference.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 11, 70
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/save.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 114
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/[id]/versions.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 73
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/index.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/user/Documents/BlueprintCAD/backend/api/cad/files/upload.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 85
"/Users/user/Documents/BlueprintCAD/backend/api/cad/list.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 69
"/Users/user/Documents/BlueprintCAD/backend/api/comments/[commentId]/reactions.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 8, 51
"/Users/user/Documents/BlueprintCAD/backend/api/comments/on/[entityType]/[entityId].ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 13, 25, 194
